asn_organization,last_seen_date,latitude,longitude,validator_count
Charter Communications Inc,2025-03-04 12:49:42.000 UTC,40.7,-74.0,1
Hetzner Online GmbH,2025-03-04 12:41:11.000 UTC,60.2,24.9,1
LG DACOM Corporation,2025-03-04 12:34:13.000 UTC,37.6,127.0,1
Orange S.A.,2025-03-04 12:33:41.000 UTC,48.6,2.1,1
"Interserver, Inc",2025-03-04 12:27:41.000 UTC,40.8,-74.1,1
Latitude.sh,2025-03-04 12:27:41.000 UTC,51.5,-0.1,1
Orange S.A.,2025-03-04 12:27:11.000 UTC,49.0,2.1,1
OVH SAS,2025-03-04 12:22:12.000 UTC,45.5,-73.6,1
Hetzner Online GmbH,2025-03-04 12:10:41.000 UTC,60.2,24.9,1
A1 Telekom Austria AG,2025-03-04 12:10:11.000 UTC,48.2,16.4,1
OVH SAS,2025-03-04 11:48:11.000 UTC,51.4,0.1,1
OVH SAS,2025-03-04 11:41:41.000 UTC,48.6,7.7,1
Hetzner Online GmbH,2025-03-04 11:25:11.000 UTC,60.2,24.9,1
Hetzner Online GmbH,2025-03-04 11:10:11.000 UTC,60.2,24.9,1
UIH,2025-03-04 10:58:12.000 UTC,13.8,100.5,1
TELUS Communications Inc.,2025-03-04 10:46:12.000 UTC,49.2,-123.1,1
OVH SAS,2025-03-04 10:42:43.000 UTC,-33.9,151.2,1
"Comcast Cable Communications, LLC",2025-03-04 10:35:12.000 UTC,43.6,-72.0,1
netcup GmbH,2025-03-04 10:29:41.000 UTC,49.4,11.0,1
Hetzner Online GmbH,2025-03-04 10:26:11.000 UTC,50.5,12.4,1
"DigitalOcean, LLC",2025-03-04 10:03:41.000 UTC,50.1,8.7,40
OVH SAS,2025-03-04 09:56:41.000 UTC,50.6,3.1,1
,2025-03-04 09:48:41.000 UTC,51.9,4.5,1
netcup GmbH,2025-03-04 09:38:12.000 UTC,38.8,-77.5,1
Hetzner Online GmbH,2025-03-04 09:25:11.000 UTC,60.2,24.9,1
"Dynascale Technologies, Inc.",2025-03-04 09:17:42.000 UTC,33.7,-117.8,1
MEVSPACE sp. z o.o.,2025-03-04 08:52:11.000 UTC,52.2,21.0,1
Skoed Limited,2025-03-04 08:23:11.000 UTC,35.9,14.5,61
"AT&T Services, Inc.",2025-03-04 08:22:42.000 UTC,37.4,-122.0,1
Coolhousing s.r.o.,2025-03-04 06:57:11.000 UTC,50.1,14.4,1
Verizon Business,2025-03-04 06:43:42.000 UTC,39.0,-77.3,1
netcup GmbH,2025-03-04 06:28:41.000 UTC,49.4,11.0,1
,2025-03-04 06:17:41.000 UTC,55.8,37.6,2
MEVSPACE sp. z o.o.,2025-03-04 05:55:11.000 UTC,52.2,21.0,1
Hetzner Online GmbH,2025-03-04 05:28:11.000 UTC,60.4,25.0,61
Deutsche Telekom AG,2025-03-04 04:25:41.000 UTC,51.2,6.8,1
OVH SAS,2025-03-04 04:13:11.000 UTC,50.1,8.7,1
"Telekom Slovenije, d.d.",2025-03-04 04:07:41.000 UTC,46.1,14.5,1
Hetzner Online GmbH,2025-03-04 04:06:41.000 UTC,50.5,12.4,1
netcup GmbH,2025-03-04 03:22:11.000 UTC,48.2,16.4,1
"AT&T Services, Inc.",2025-03-04 03:03:12.000 UTC,32.9,-96.7,1
"CenturyLink Communications, LLC",2025-03-04 03:02:12.000 UTC,47.5,-122.3,1
Two Degrees Networks Limited,2025-03-04 02:37:13.000 UTC,-36.8,174.8,1
Free SAS,2025-03-04 01:23:11.000 UTC,48.9,2.3,1
"Tencent Building, Kejizhongyi Avenue",2025-03-04 00:59:41.000 UTC,50.1,8.7,1
Sunrise GmbH,2025-03-04 00:26:11.000 UTC,46.0,9.0,1
"Comcast Cable Communications, LLC",2025-03-03 23:26:12.000 UTC,37.8,-79.4,1
Google LLC,2025-03-03 23:20:42.000 UTC,32.9,-80.0,61
netcup GmbH,2025-03-03 22:54:13.000 UTC,50.9,11.6,2
A1 Telekom Austria AG,2025-03-03 22:42:41.000 UTC,48.2,16.4,1
Beanfield Technologies Inc.,2025-03-03 22:00:42.000 UTC,43.7,-79.4,2
British Telecommunications PLC,2025-03-03 21:44:41.000 UTC,50.7,-2.0,1
AIS Fibre,2025-03-03 21:05:42.000 UTC,13.8,100.5,1
"Comcast Cable Communications, LLC",2025-03-03 20:57:42.000 UTC,37.0,-122.0,1
Hetzner Online GmbH,2025-03-03 19:34:41.000 UTC,50.5,12.4,1
"JSC ""ER-Telecom Holding""",2025-03-03 19:33:11.000 UTC,56.3,44.0,2
,2025-03-03 19:24:11.000 UTC,49.4,11.0,1
OVH SAS,2025-03-03 19:11:42.000 UTC,1.4,103.8,1
Verizon Business,2025-03-03 18:13:42.000 UTC,39.6,-76.5,1
