asn_organization,last_seen_date,latitude,longitude,validator_count
Vodafone GmbH,2024-12-10 19:48:15.000 UTC,50.8,6.1,1
OVH SAS,2024-12-10 17:55:42.000 UTC,39.0,-77.5,1
ANEXIA Internetdienstleistungs GmbH,2024-12-10 17:44:11.000 UTC,46.6,14.3,25
CIZGI TELEKOMUNIKASYON ANONIM SIRKETI,2024-12-10 12:59:11.000 UTC,41.0,28.9,1
Distributel Communications Limited,2024-12-10 10:09:12.000 UTC,43.6,-79.7,1
Alpha Net Telecom Ltd,2024-12-10 07:52:11.000 UTC,55.7,37.3,1
MEVSPACE sp. z o.o.,2024-12-10 06:34:11.000 UTC,52.2,21.0,1
Skoed Limited,2024-12-10 04:51:46.000 UTC,35.9,14.5,61
Baxet Group Inc.,2024-12-10 04:47:43.000 UTC,52.2,21.0,2
"Frontier Communications of America, Inc.",2024-12-10 04:36:12.000 UTC,33.0,-96.5,1
"Amazon.com, Inc.",2024-12-10 04:12:21.000 UTC,40.0,-83.0,61
M247 Europe SRL,2024-12-10 02:19:14.000 UTC,35.7,139.7,1
IONOS SE,2024-12-10 01:09:11.000 UTC,39.6,2.7,1
LeaseWeb Netherlands B.V.,2024-12-10 01:08:11.000 UTC,52.4,4.9,11
ANEXIA Internetdienstleistungs GmbH,2024-12-10 01:07:41.000 UTC,48.2,16.4,1
hosttech GmbH,2024-12-10 00:52:12.000 UTC,47.6,7.6,52
Hetzner Online GmbH,2024-12-10 00:29:11.000 UTC,60.2,24.9,61
Strato AG,2024-12-10 00:02:41.000 UTC,53.6,10.0,1
A1 Telekom Austria AG,2024-12-09 23:54:41.000 UTC,48.2,16.4,1
Singtel Fibre Broadband,2024-12-09 23:45:43.000 UTC,1.3,103.9,1
Hetzner Online GmbH,2024-12-09 22:17:08.000 UTC,60.2,24.9,61
"AT&T Services, Inc.",2024-12-09 20:47:42.000 UTC,39.8,-86.2,1
"Comcast Cable Communications, LLC",2024-12-09 20:12:12.000 UTC,37.8,-79.4,2
Latitude.sh LTDA,2024-12-09 17:36:42.000 UTC,25.8,-80.2,20
Distributel Communications Limited,2024-12-09 17:17:42.000 UTC,43.6,-79.7,1
Leaseweb Deutschland GmbH,2024-12-09 16:06:17.000 UTC,50.1,8.7,8
OVH SAS,2024-12-09 15:06:41.000 UTC,52.2,21.1,61
Iway AG,2024-12-09 14:52:41.000 UTC,47.4,8.6,1
Telecom Italia S.p.A.,2024-12-09 13:53:33.000 UTC,43.1,12.4,1
OVH SAS,2024-12-09 13:52:11.000 UTC,50.6,3.1,61
OVH SAS,2024-12-09 13:46:41.000 UTC,50.1,8.7,23
Leaseweb Deutschland GmbH,2024-12-09 13:32:58.000 UTC,50.1,8.7,12
OVH SAS,2024-12-09 13:17:41.000 UTC,51.4,0.1,61
OVH SAS,2024-12-09 13:02:22.000 UTC,50.1,8.7,61
Media-Com Sp. z o.o.,2024-12-09 10:29:11.000 UTC,50.1,19.0,1
Beanfield Technologies Inc.,2024-12-09 09:30:42.000 UTC,43.7,-79.4,1
"Skyrunner, Inc.",2024-12-09 06:42:42.000 UTC,35.6,-82.6,1
Cox Communications Inc.,2024-12-09 05:05:42.000 UTC,32.7,-117.2,1
"Comporium, Inc",2024-12-09 04:58:12.000 UTC,35.2,-82.7,1
ANEXIA Internetdienstleistungs GmbH,2024-12-09 03:03:41.000 UTC,48.2,16.4,1
ANEXIA Internetdienstleistungs GmbH,2024-12-09 03:03:41.000 UTC,48.2,16.4,1
Cox Communications Inc.,2024-12-09 02:57:42.000 UTC,33.4,-112.1,2
Korea Telecom,2024-12-09 02:00:43.000 UTC,37.4,127.1,2
Contabo GmbH,2024-12-09 00:42:41.000 UTC,51.2,6.8,1
MEVSPACE sp. z o.o.,2024-12-08 23:18:41.000 UTC,52.2,21.0,1
"Amazon.com, Inc.",2024-12-08 21:45:12.000 UTC,40.0,-83.0,2
AIS Fibre,2024-12-08 21:44:42.000 UTC,13.8,100.5,1
Vodafone Deutschland GmbH,2024-12-08 17:53:41.000 UTC,48.1,11.6,1
Vodafone Libertel B.V.,2024-12-08 15:03:11.000 UTC,52.4,4.9,1
TELUS Communications Inc.,2024-12-08 14:16:12.000 UTC,49.2,-123.1,1
Alpha Net Telecom Ltd,2024-12-08 13:59:48.000 UTC,55.7,37.3,1
"AT&T Services, Inc.",2024-12-08 10:18:12.000 UTC,39.8,-86.2,1
Init7 (Switzerland) Ltd.,2024-12-08 09:59:41.000 UTC,47.7,8.6,1
"AT&T Services, Inc.",2024-12-08 01:33:42.000 UTC,42.3,-83.5,1
ANEXIA Internetdienstleistungs GmbH,2024-12-08 00:44:42.000 UTC,46.6,14.3,22
Free SAS,2024-12-08 00:00:41.000 UTC,48.9,2.3,1
VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,2024-12-07 23:39:11.000 UTC,40.6,22.9,2
Verizon Business,2024-12-07 20:43:42.000 UTC,40.9,-74.3,1
Hetzner Online GmbH,2024-12-07 17:47:09.000 UTC,60.2,24.9,61
Free SAS,2024-12-07 16:49:41.000 UTC,48.9,2.3,1
Google LLC,2024-12-07 15:44:41.000 UTC,53.2,6.6,2
Verizon Business,2024-12-07 13:03:42.000 UTC,40.8,-74.1,1
Bell Canada,2024-12-07 10:05:13.000 UTC,45.5,-73.6,1
"Frontier Communications of America, Inc.",2024-12-07 09:05:42.000 UTC,32.9,-96.6,1
"Amazon.com, Inc.",2024-12-07 08:36:11.000 UTC,40.0,-83.0,3
"AT&T Services, Inc.",2024-12-07 05:25:12.000 UTC,41.8,-87.8,2
Hetzner Online GmbH,2024-12-07 04:11:42.000 UTC,60.4,25.0,61
Skoed Limited,2024-12-07 01:12:11.000 UTC,35.9,14.5,61
Cyberlink AG,2024-12-07 00:10:31.000 UTC,47.3,8.6,3
Enreach Netherlands B.V.,2024-12-06 22:23:12.000 UTC,51.8,5.2,1
Skoed Limited,2024-12-06 19:56:11.000 UTC,35.9,14.5,61
"Amazon.com, Inc.",2024-12-06 19:21:11.000 UTC,48.9,2.3,1
"Amazon.com, Inc.",2024-12-06 18:12:11.000 UTC,40.0,-83.0,61
WideOpenWest Finance LLC,2024-12-06 17:49:12.000 UTC,38.0,-87.6,1
TELUS Communications Inc.,2024-12-06 16:10:12.000 UTC,49.2,-123.1,1
"Infinity Telecom, s.r.o.",2024-12-06 15:50:41.000 UTC,50.1,14.4,1
OVH SAS,2024-12-06 13:50:11.000 UTC,39.0,-77.5,61
Cyberlink AG,2024-12-06 13:01:54.000 UTC,47.5,8.7,5
UIH,2024-12-06 12:51:42.000 UTC,13.8,100.5,1
Unchained ISP Limited,2024-12-06 12:32:41.000 UTC,51.5,-0.1,2
"Comcast Cable Communications, LLC",2024-12-06 12:16:30.000 UTC,37.4,-122.0,1
Cyberlink AG,2024-12-06 09:46:12.000 UTC,47.4,8.6,4
Swisscom (Schweiz) AG,2024-12-06 07:55:11.000 UTC,47.5,7.6,1
Skoed Limited,2024-12-06 06:19:11.000 UTC,35.9,14.5,61
Google LLC,2024-12-06 05:32:42.000 UTC,45.6,-121.2,1
Hetzner Online GmbH,2024-12-06 03:27:11.000 UTC,50.5,12.4,1
OVH SAS,2024-12-06 03:01:12.000 UTC,45.3,-73.9,49
Vodafone GmbH,2024-12-06 01:59:11.000 UTC,49.8,8.2,1
"Amazon.com, Inc.",2024-12-06 01:57:47.000 UTC,45.8,-119.7,61
netcup GmbH,2024-12-06 01:08:43.000 UTC,48.2,16.4,23
Hetzner Online GmbH,2024-12-06 00:39:11.000 UTC,50.5,12.4,1
Vodafone GmbH,2024-12-06 00:30:41.000 UTC,50.8,6.1,1
Aussie Broadband,2024-12-06 00:29:22.000 UTC,-27.5,153.0,1
Contabo GmbH,2024-12-06 00:03:41.000 UTC,51.2,6.8,1
Google LLC,2024-12-05 23:46:11.000 UTC,38.9,-77.0,61
Google LLC,2024-12-05 23:36:23.000 UTC,38.9,-77.0,61
Charter Communications Inc,2024-12-05 20:49:43.000 UTC,25.9,-97.5,1
Google LLC,2024-12-05 20:34:11.000 UTC,38.9,-77.0,61
Charter Communications Inc,2024-12-05 19:20:12.000 UTC,34.1,-118.3,1
Google LLC,2024-12-05 19:05:41.000 UTC,38.9,-77.0,61
"Amazon.com, Inc.",2024-12-05 18:56:02.000 UTC,40.0,-83.0,61
"Amazon.com, Inc.",2024-12-05 18:40:42.000 UTC,40.0,-83.0,61
OVH SAS,2024-12-05 17:57:42.000 UTC,1.3,103.9,24
Google LLC,2024-12-05 17:41:41.000 UTC,38.9,-77.0,62
netcup GmbH,2024-12-05 17:36:13.000 UTC,48.1,16.3,26
Google LLC,2024-12-05 14:46:22.000 UTC,53.2,6.6,8
Verizon Business,2024-12-05 14:12:41.000 UTC,40.6,-80.1,1
VODAFONE ESPANA S.A.U.,2024-12-05 14:07:15.000 UTC,43.3,-4.0,1
netcup GmbH,2024-12-05 11:22:11.000 UTC,48.1,16.3,28
Sonic Telecom LLC,2024-12-05 10:16:42.000 UTC,37.8,-122.4,1
Cox Communications Inc.,2024-12-05 09:54:12.000 UTC,32.7,-117.2,1
netcup GmbH,2024-12-05 09:25:13.000 UTC,48.1,16.3,24
Verizon Business,2024-12-05 09:24:12.000 UTC,40.7,-74.0,1
Verizon Business,2024-12-05 08:34:42.000 UTC,40.8,-74.2,1
Hetzner Online GmbH,2024-12-05 08:29:41.000 UTC,60.2,24.9,7
"Comcast Cable Communications, LLC",2024-12-05 06:31:39.000 UTC,38.6,-121.5,1
Cox Communications Inc.,2024-12-05 06:00:42.000 UTC,32.7,-117.2,1
Google LLC,2024-12-05 05:13:50.000 UTC,38.9,-77.0,61
"AT&T Services, Inc.",2024-12-05 04:31:42.000 UTC,33.7,-84.4,1
Hetzner Online GmbH,2024-12-05 03:51:11.000 UTC,50.5,12.4,3
Hetzner Online GmbH,2024-12-05 03:29:41.000 UTC,50.5,12.4,1
Free SAS,2024-12-05 02:38:26.000 UTC,48.9,2.3,1
"Servers.com, Inc.",2024-12-05 02:13:35.000 UTC,52.4,4.9,61
Hetzner Online GmbH,2024-12-05 01:00:11.000 UTC,50.5,12.4,1
Nessus GmbH,2024-12-04 22:11:43.000 UTC,48.2,16.4,20
Cox Communications Inc.,2024-12-04 21:01:43.000 UTC,32.7,-117.2,1
Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,2024-12-04 20:06:18.000 UTC,48.4,16.3,1
"Amazon.com, Inc.",2024-12-04 19:51:42.000 UTC,40.0,-83.0,61
netcup GmbH,2024-12-04 19:20:41.000 UTC,48.1,16.3,25
Hetzner Online GmbH,2024-12-04 19:06:41.000 UTC,60.4,25.0,61
OVH SAS,2024-12-04 18:53:24.000 UTC,50.1,8.7,10
"AT&T Services, Inc.",2024-12-04 18:49:30.000 UTC,26.7,-80.1,3
OVH SAS,2024-12-04 18:22:13.000 UTC,50.6,3.1,38
Google LLC,2024-12-04 18:15:41.000 UTC,38.9,-77.0,61
MEVSPACE sp. z o.o.,2024-12-04 15:41:41.000 UTC,52.2,21.0,1
Nessus GmbH,2024-12-04 14:25:11.000 UTC,48.2,16.4,61
Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,2024-12-04 14:15:41.000 UTC,48.2,16.4,1
Nessus GmbH,2024-12-04 11:45:13.000 UTC,48.2,16.4,61
Hetzner Online GmbH,2024-12-04 11:43:11.000 UTC,60.2,24.9,61
Hetzner Online GmbH,2024-12-04 11:36:54.000 UTC,60.4,25.0,61
Vodafone GmbH,2024-12-04 08:42:11.000 UTC,50.8,6.1,1
China Unicom Shanghai network,2024-12-04 07:40:42.000 UTC,31.2,121.5,1
Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,2024-12-04 04:50:41.000 UTC,48.1,14.9,1
Hetzner Online GmbH,2024-12-04 04:25:41.000 UTC,50.5,12.4,1
Hetzner Online GmbH,2024-12-04 03:10:11.000 UTC,50.5,12.4,1
netcup GmbH,2024-12-04 01:51:15.000 UTC,48.1,16.3,19
"Oliver Horscht is trading as ""SYNLINQ""",2024-12-03 22:39:50.000 UTC,50.1,8.7,4
BSE Software GmbH,2024-12-03 22:16:13.000 UTC,47.4,8.6,49
Hetzner Online GmbH,2024-12-03 20:19:41.000 UTC,50.5,12.4,1
Hotwire Communications,2024-12-03 19:19:12.000 UTC,35.7,-78.9,1
True Online,2024-12-03 15:58:12.000 UTC,13.8,100.5,1
Virgin Media Limited,2024-12-03 15:27:41.000 UTC,53.0,-1.2,2
Singtel Fibre Broadband,2024-12-03 15:24:43.000 UTC,1.3,103.9,1
Nessus GmbH,2024-12-03 13:31:54.000 UTC,48.2,16.4,61
Hetzner Online GmbH,2024-12-03 12:54:11.000 UTC,51.9,8.9,1
Hetzner Online GmbH,2024-12-03 10:35:11.000 UTC,60.2,24.9,1
"Comcast Cable Communications, LLC",2024-12-03 09:59:48.000 UTC,29.8,-95.4,1
Skoed Limited,2024-12-03 07:39:41.000 UTC,35.9,14.5,61
"Comcast Cable Communications, LLC",2024-12-03 06:08:42.000 UTC,37.5,-122.2,1
3DATA LLC,2024-12-03 05:57:11.000 UTC,55.8,37.6,2
OVH SAS,2024-12-03 05:42:41.000 UTC,50.1,8.7,13
OVH SAS,2024-12-03 04:50:11.000 UTC,50.1,8.7,16
OVH SAS,2024-12-03 04:28:41.000 UTC,50.1,8.7,1
Hetzner Online GmbH,2024-12-03 03:54:11.000 UTC,50.5,12.4,3
Hetzner Online GmbH,2024-12-03 03:52:11.000 UTC,50.5,12.4,2
Telecom Argentina S.A.,2024-12-03 02:22:43.000 UTC,-34.6,-58.4,1
Google LLC,2024-12-03 02:12:47.000 UTC,38.9,-77.0,61
Google LLC,2024-12-03 01:43:06.000 UTC,38.9,-77.0,61
"Amazon.com, Inc.",2024-12-03 01:40:42.000 UTC,40.0,-83.0,1
Blacknight Internet Solutions Limited,2024-12-03 01:28:11.000 UTC,53.3,-6.2,1
Hetzner Online GmbH,2024-12-03 01:13:11.000 UTC,50.5,12.4,1
OVH SAS,2024-12-03 01:01:41.000 UTC,50.1,8.7,1
"Amazon.com, Inc.",2024-12-03 00:50:11.000 UTC,40.0,-83.0,61
Charter Communications Inc,2024-12-03 00:44:43.000 UTC,25.9,-97.5,1
"Amazon.com, Inc.",2024-12-03 00:35:10.000 UTC,40.0,-83.0,61
OVH SAS,2024-12-02 22:59:18.000 UTC,39.0,-77.5,61
"DigitalOcean, LLC",2024-12-02 22:09:42.000 UTC,37.4,-122.0,61
Google LLC,2024-12-02 21:47:11.000 UTC,38.9,-77.0,61
Hetzner Online GmbH,2024-12-02 21:05:41.000 UTC,50.5,12.4,1
Hetzner Online GmbH,2024-12-02 20:58:41.000 UTC,50.5,12.4,1
WorldStream B.V.,2024-12-02 19:52:41.000 UTC,52.0,4.2,1
Hetzner Online GmbH,2024-12-02 19:15:11.000 UTC,50.5,12.4,1
Google LLC,2024-12-02 18:55:05.000 UTC,32.9,-80.0,61
Google LLC,2024-12-02 18:31:41.000 UTC,38.9,-77.0,61
Google LLC,2024-12-02 18:19:41.000 UTC,38.9,-77.0,61
Plusnet GmbH,2024-12-02 18:16:45.000 UTC,50.8,7.1,61
Hetzner Online GmbH,2024-12-02 17:16:11.000 UTC,50.5,12.4,1
"Amazon.com, Inc.",2024-12-02 16:35:12.000 UTC,40.0,-83.0,61
BSE Software GmbH,2024-12-02 16:32:11.000 UTC,47.4,8.6,25
Uniontel Ltd,2024-12-02 16:17:41.000 UTC,55.8,37.6,1
"Infinity Telecom, s.r.o.",2024-12-02 14:46:11.000 UTC,50.1,14.4,1
Hetzner Online GmbH,2024-12-02 14:30:11.000 UTC,50.5,12.4,1
Hotwire Communications,2024-12-02 13:56:42.000 UTC,35.7,-78.9,1
Bouygues Telecom SA,2024-12-02 13:17:41.000 UTC,47.3,0.7,1
Data Communication Business Group,2024-12-02 13:16:12.000 UTC,25.0,121.5,1
MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,2024-12-02 10:52:11.000 UTC,32.7,-17.1,1
Hetzner Online GmbH,2024-12-02 10:49:41.000 UTC,50.5,12.4,1
CENIC,2024-12-02 10:05:42.000 UTC,32.7,-117.2,2
"Amazon.com, Inc.",2024-12-02 09:39:41.000 UTC,40.0,-83.0,61
Charter Communications Inc,2024-12-02 09:32:43.000 UTC,25.9,-97.5,1
Hetzner Online GmbH,2024-12-02 09:10:41.000 UTC,51.4,6.9,1
Microsoft Corporation,2024-12-02 09:05:12.000 UTC,39.0,-77.5,3
Wholesail networks LLC,2024-12-02 08:48:42.000 UTC,47.8,-122.3,1
OVH SAS,2024-12-02 06:52:41.000 UTC,50.1,8.7,1
BIGLOBE Inc.,2024-12-02 06:24:43.000 UTC,35.7,139.7,1
Iway AG,2024-12-02 05:39:41.000 UTC,47.4,8.6,1
Hetzner Online GmbH,2024-12-02 05:29:11.000 UTC,50.5,12.4,1
Hetzner Online GmbH,2024-12-02 05:08:11.000 UTC,50.5,12.4,1
Alpha Net Telecom Ltd,2024-12-02 04:19:41.000 UTC,55.7,37.3,1
SCALEWAY S.A.S.,2024-12-02 02:42:11.000 UTC,52.4,4.6,1
Free SAS,2024-12-02 00:58:11.000 UTC,48.8,2.2,1
Hetzner Online GmbH,2024-12-01 22:47:41.000 UTC,50.5,12.4,1
FortressITX,2024-12-01 22:31:11.000 UTC,40.7,-74.0,1
"Infinity Telecom, s.r.o.",2024-12-01 19:36:11.000 UTC,50.1,14.4,1
Hetzner Online GmbH,2024-12-01 19:30:41.000 UTC,60.2,24.9,1
Philippine Long Distance Telephone Company,2024-12-01 19:08:12.000 UTC,14.6,121.1,2
Ting Fiber Inc.,2024-12-01 15:27:12.000 UTC,39.6,-104.9,1
Beanfield Technologies Inc.,2024-12-01 13:20:12.000 UTC,43.7,-79.4,1
"Frontier Communications of America, Inc.",2024-12-01 12:59:12.000 UTC,33.0,-96.5,1
Liberty Global B.V.,2024-12-01 08:25:41.000 UTC,52.2,21.0,1
Strato AG,2024-12-01 06:54:41.000 UTC,53.6,10.0,2
"Servers.com, Inc.",2024-12-01 06:43:47.000 UTC,49.6,6.1,47
TELEFÔNICA BRASIL S.A,2024-12-01 06:31:13.000 UTC,-19.8,-43.9,1
Orange Espagne SA,2024-12-01 05:03:11.000 UTC,38.9,-6.3,1
Mythic Beasts Ltd,2024-12-01 04:15:11.000 UTC,51.5,-0.3,1
Deutsche Telekom AG,2024-12-01 03:23:41.000 UTC,51.3,9.6,1
Hetzner Online GmbH,2024-12-01 02:23:41.000 UTC,60.2,24.9,61
"Comcast Cable Communications, LLC",2024-11-30 23:45:42.000 UTC,37.9,-122.1,1
Metronet,2024-11-30 21:56:09.000 UTC,42.0,-93.6,1
Google LLC,2024-11-30 20:41:12.000 UTC,53.2,6.6,13
Cox Communications Inc.,2024-11-30 18:33:42.000 UTC,33.4,-112.1,1
Hetzner Online GmbH,2024-11-30 18:28:11.000 UTC,50.5,12.4,1
Núcleo S.A.,2024-11-30 18:11:15.000 UTC,-25.3,-57.6,1
Init7 (Switzerland) Ltd.,2024-11-30 17:58:11.000 UTC,47.7,8.6,1
Deutsche Telekom AG,2024-11-30 14:57:41.000 UTC,51.3,9.6,1
"Amazon.com, Inc.",2024-11-30 13:53:41.000 UTC,40.0,-83.0,4
,2024-11-30 13:50:11.000 UTC,55.8,37.6,2
"Telia Lietuva, AB",2024-11-30 13:12:26.000 UTC,54.7,25.3,1
"Comcast Cable Communications, LLC",2024-11-30 11:41:12.000 UTC,37.8,-122.3,1
M247 Europe SRL,2024-11-30 11:32:12.000 UTC,34.0,-118.3,7
Latitude.sh LTDA,2024-11-30 11:30:45.000 UTC,25.8,-80.2,61
OVH SAS,2024-11-30 10:46:41.000 UTC,50.1,8.7,1
OVH SAS,2024-11-30 10:46:22.000 UTC,-33.9,151.2,6
Charter Communications Inc,2024-11-30 10:10:12.000 UTC,41.6,-81.1,1
OVH SAS,2024-11-30 09:54:10.000 UTC,50.6,3.1,4
OVH SAS,2024-11-30 09:39:13.000 UTC,45.5,-122.7,38
OVH SAS,2024-11-30 09:05:41.000 UTC,45.3,-73.9,1
OVH SAS,2024-11-30 08:12:47.000 UTC,-33.9,151.2,4
Hetzner Online GmbH,2024-11-30 07:58:41.000 UTC,60.4,25.0,61
OVH SAS,2024-11-30 07:03:43.000 UTC,45.5,-122.7,41
Hetzner Online GmbH,2024-11-30 06:37:41.000 UTC,50.5,12.4,1
Distributel Communications Limited,2024-11-30 05:47:42.000 UTC,43.6,-79.7,1
M247 Europe SRL,2024-11-30 05:17:12.000 UTC,34.0,-118.3,6
EWE TEL GmbH,2024-11-30 03:23:46.000 UTC,53.1,8.2,1
"Frontier Communications of America, Inc.",2024-11-30 01:57:42.000 UTC,32.9,-96.6,1
Hetzner Online GmbH,2024-11-30 01:20:41.000 UTC,50.5,12.4,1
Charter Communications Inc,2024-11-29 23:32:42.000 UTC,32.8,-117.2,1
CETIN Ltd. Belgrade,2024-11-29 22:31:11.000 UTC,44.8,20.5,1
Deutsche Telekom AG,2024-11-29 22:11:12.000 UTC,53.6,10.0,1
CHINANET-BACKBONE,2024-11-29 22:02:13.000 UTC,29.9,121.5,1
PJSC Rostelecom,2024-11-29 20:58:11.000 UTC,55.8,37.6,2
Verizon Business,2024-11-29 20:26:11.000 UTC,40.7,-74.0,1
Hetzner Online GmbH,2024-11-29 18:43:11.000 UTC,50.5,12.4,1
Verizon Business,2024-11-29 18:39:19.000 UTC,40.7,-74.0,2
"Comcast Cable Communications, LLC",2024-11-29 18:16:42.000 UTC,40.0,-75.2,1
VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,2024-11-29 17:52:12.000 UTC,37.9,23.8,2
Hetzner Online GmbH,2024-11-29 16:02:41.000 UTC,50.5,12.4,1
Free SAS,2024-11-29 14:40:11.000 UTC,48.9,2.3,1
T-Mobile Austria GmbH,2024-11-29 13:51:11.000 UTC,48.2,16.4,1
Hetzner Online GmbH,2024-11-29 12:14:11.000 UTC,60.4,25.0,61
Telia Company AB,2024-11-29 11:31:41.000 UTC,59.3,18.1,1
Community Fibre Limited,2024-11-29 10:20:16.000 UTC,51.5,-0.1,1
Hetzner Online GmbH,2024-11-29 09:32:41.000 UTC,50.5,12.4,1
Hetzner Online GmbH,2024-11-29 09:32:41.000 UTC,50.5,12.4,1
"Comcast Cable Communications, LLC",2024-11-29 09:02:12.000 UTC,37.8,-122.3,1
Free SAS,2024-11-29 05:24:11.000 UTC,48.9,2.3,1
Alpha Net Telecom Ltd,2024-11-29 04:44:33.000 UTC,55.7,37.3,1
OVH SAS,2024-11-29 02:00:41.000 UTC,50.6,3.1,14
Skoed Limited,2024-11-28 23:11:41.000 UTC,35.9,14.5,61
Cox Communications Inc.,2024-11-28 23:00:12.000 UTC,32.7,-117.2,1
Google LLC,2024-11-28 22:24:01.000 UTC,38.9,-77.0,61
Hetzner Online GmbH,2024-11-28 21:42:41.000 UTC,49.0,12.1,1
Hetzner Online GmbH,2024-11-28 19:23:05.000 UTC,60.2,24.9,61
Charter Communications Inc,2024-11-28 17:24:12.000 UTC,34.0,-118.4,1
"Frontier Communications of America, Inc.",2024-11-28 17:08:25.000 UTC,32.9,-96.6,1
netcup GmbH,2024-11-28 16:38:41.000 UTC,50.5,12.4,1
Google LLC,2024-11-28 14:11:11.000 UTC,50.1,8.7,1
Hetzner Online GmbH,2024-11-28 14:07:58.000 UTC,60.2,24.9,61
Hetzner Online GmbH,2024-11-28 13:41:41.000 UTC,50.5,12.4,1
Alpha Net Telecom Ltd,2024-11-28 13:08:11.000 UTC,55.7,37.3,1
"Charter Communications, Inc",2024-11-28 10:54:28.000 UTC,28.7,-81.2,1
T-Systems International GmbH,2024-11-28 10:47:11.000 UTC,51.8,6.0,1
"Nubes, LLC",2024-11-28 10:29:13.000 UTC,38.6,-90.2,1
"Comcast Cable Communications, LLC",2024-11-28 10:12:12.000 UTC,25.8,-80.2,1
Hetzner Online GmbH,2024-11-28 09:08:41.000 UTC,50.5,12.4,1
Google LLC,2024-11-28 08:37:41.000 UTC,38.9,-77.0,61
Hetzner Online GmbH,2024-11-28 07:47:11.000 UTC,50.5,12.4,1
Google LLC,2024-11-28 06:54:42.000 UTC,41.3,-95.9,8
Virgin Media Limited,2024-11-28 06:29:11.000 UTC,52.4,-1.3,1
Hetzner Online GmbH,2024-11-28 05:43:41.000 UTC,50.5,12.4,1
Google LLC,2024-11-28 05:33:41.000 UTC,38.9,-77.0,61
Hetzner Online GmbH,2024-11-28 05:29:41.000 UTC,50.5,12.4,1
Google LLC,2024-11-28 05:27:11.000 UTC,38.9,-77.0,61
"Amazon.com, Inc.",2024-11-28 05:26:24.000 UTC,40.0,-83.0,61
"DigitalOcean, LLC",2024-11-28 05:18:13.000 UTC,-33.9,151.2,61
Hetzner Online GmbH,2024-11-28 05:05:41.000 UTC,50.5,12.4,1
netcup GmbH,2024-11-28 04:45:11.000 UTC,49.4,11.0,1
Hetzner Online GmbH,2024-11-28 03:25:41.000 UTC,60.2,24.9,2
Google LLC,2024-11-28 03:17:32.000 UTC,38.9,-77.0,61
Google LLC,2024-11-28 03:16:37.000 UTC,38.9,-77.0,61
Hetzner Online GmbH,2024-11-28 03:14:41.000 UTC,60.2,24.9,1
"North State Telephone, LLC",2024-11-28 02:17:12.000 UTC,36.1,-79.8,3
Hetzner Online GmbH,2024-11-28 02:11:11.000 UTC,60.2,24.9,1
Hetzner Online GmbH,2024-11-28 02:02:41.000 UTC,60.2,24.9,1
Google LLC,2024-11-28 01:40:41.000 UTC,38.9,-77.0,61
Hetzner Online GmbH,2024-11-28 01:34:11.000 UTC,60.2,24.9,19
Hetzner Online GmbH,2024-11-28 01:30:41.000 UTC,60.2,24.9,1
WideOpenWest Finance LLC,2024-11-28 01:08:42.000 UTC,34.7,-86.6,1
Alpha Net Telecom Ltd,2024-11-28 01:02:54.000 UTC,55.7,37.3,1
Hetzner Online GmbH,2024-11-28 00:51:11.000 UTC,60.2,24.9,1
MEVSPACE sp. z o.o.,2024-11-28 00:43:41.000 UTC,52.2,21.0,1
Google LLC,2024-11-28 00:27:19.000 UTC,38.9,-77.0,61
Oracle Corporation,2024-11-28 00:03:41.000 UTC,39.0,-77.5,49
Hetzner Online GmbH,2024-11-27 23:38:11.000 UTC,60.2,24.9,1
"Amazon.com, Inc.",2024-11-27 22:41:07.000 UTC,40.0,-83.0,61
"Amazon.com, Inc.",2024-11-27 22:13:41.000 UTC,40.0,-83.0,62
TELUS Communications Inc.,2024-11-27 21:53:12.000 UTC,49.2,-123.1,1
Google LLC,2024-11-27 21:52:41.000 UTC,32.9,-80.0,61
"Amazon.com, Inc.",2024-11-27 21:19:41.000 UTC,40.0,-83.0,61
Sunrise GmbH,2024-11-27 20:38:41.000 UTC,46.5,6.6,1
PJSC Moscow city telephone network,2024-11-27 18:19:41.000 UTC,55.8,37.6,1
Init7 (Switzerland) Ltd.,2024-11-27 18:18:11.000 UTC,47.2,8.5,1
Hetzner Online GmbH,2024-11-27 17:09:11.000 UTC,50.5,12.4,1
Latitude.sh,2024-11-27 15:50:11.000 UTC,50.1,8.7,36
Wholesail networks LLC,2024-11-27 10:17:42.000 UTC,47.7,-122.1,1
Telenor A/S,2024-11-27 09:31:11.000 UTC,55.7,12.6,1
KPN B.V.,2024-11-27 05:11:11.000 UTC,52.2,5.4,1
Vodafone GmbH,2024-11-27 05:01:11.000 UTC,50.7,8.3,2
"Amazon.com, Inc.",2024-11-27 04:41:47.000 UTC,53.3,-6.2,2
"DigitalOcean, LLC",2024-11-27 04:12:42.000 UTC,37.4,-122.0,61
Hetzner Online GmbH,2024-11-27 03:27:41.000 UTC,60.2,24.9,11
"Amazon.com, Inc.",2024-11-27 03:08:41.000 UTC,40.0,-83.0,61
